a	あ
xm	う゛ぇん
xy	う゛ぉん
xva	ぁ
xvi	ぃ
xvu	ぅ
xve	ぇ
xvo	ぉ
xya	ゃ
xyu	ゅ
xyo	ょ
